PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
353,0,3,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,41.54,0,2,36967,160.2446,,C
849,0,3,"Greenfield, Mr. William Bertram",male,66.16,1,0,PC 17761,16.5262,,C
891,0,3,"Long, Mr. Milton Clyde",male,32.26,1,0,113050,3.435,,C
176,1,1,"Kenyon, Mrs. Frederick R (Marion)",male,,1,2,2650,186.9214,,S
891,0,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,,0,0,695,14.6924,,C
652,1,2,"Danbom, Mr. Ernst Gilbert",male,,0,0,54636,36.4282,,S
769,0,3,"Kirkland, Rev. Charles Leonard",female,20.76,0,0,16966,74.3139,,Q
641,0,3,"Sloper, Mr. William Thompson",female,22.44,0,0,65303,15.1666,C99,S
532,0,3,"Barbara, Miss. Saiide",female,24.94,1,0,347063,88.1184,,C
153,1,3,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",male,33.19,0,0,STON/O2. 3101290,70.8708,B28,S
242,0,3,"Bostandyeff, Mr. Guentcho",female,67.18,0,2,349217,36.2455,,S
797,1,1,"Balkic, Mr. Cerin",male,22.61,1,2,237565,74.4236,C92,S
880,0,3,"Fahlstrom, Mr. Arne Jonas",female,29.57,0,3,S.P. 3464,52.4575,,C
704,1,2,"Svensson, Mr. Johan",male,55.19,0,2,11767,33.2996,G6,Q
496,0,2,"Kimball, Mr. Edwin Nelson Jr",male,,1,0,364849,37.4812,,S
790,0,3,"Bissette, Miss. Amelia",female,24.19,0,2,A/4. 39886,13.3569,D33,S
687,0,2,"Vande Walle, Mr. Nestor Cyriel",male,31.45,0,0,239856,172.8116,,S
744,1,3,"Douglas, Mr. Walter Donald",female,,0,0,113572,91.6209,,S
891,0,2,"Meyer, Mr. August",female,31.43,3,2,349221,230.0405,A23,S
579,0,1,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,28.03,0,0,PC 17590,12.0384,,S
