PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
891,1,3,"Goldsmith, Master. Frank John William ""Frankie""",female,70.62,0,0,W./C. 6608,14.2885,,C
313,1,3,"Collyer, Mr. Harvey",female,31.71,1,0,PC 17485,175.1501,,Q
717,1,2,"Farthing, Mr. John",male,51.14,4,0,35273,56.8036,B35,C
880,1,2,"Carter, Mrs. William Ernest (Lucile Polk)",male,,0,0,17421,54.2737,,S
726,0,3,"Smart, Mr. John Montgomery",female,57.43,0,0,370377,62.9142,,S
231,0,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",male,,0,0,29106,81.4546,,S
877,0,3,"Goodwin, Miss. Lillian Amy",male,27.2,0,0,1601,184.8035,D33,C
149,1,3,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,26.25,1,0,S.O.C. 14879,48.3058,,C
891,0,3,"Saad, Mr. Amin",male,28.38,0,0,2653,59.4544,,S
337,0,2,"Adahl, Mr. Mauritz Nils Martin",female,27.79,1,0,PC 17611,21.9627,B69,Q
49,0,2,"Zimmerman, Mr. Leo",female,33.0,1,0,113786,95.1386,C78,Q
218,1,2,"O'Driscoll, Miss. Bridget",male,,0,0,A/4 48871,92.8459,,S
860,1,3,"Baxter, Mr. Quigg Edmond",male,,0,0,349909,10.0709,,S
690,0,3,"Davidson, Mr. Thornton",male,54.86,0,0,PC 17475,10.6747,,Q
214,1,3,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,68.98,1,2,220845,56.799,,C
711,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,49.94,0,0,11767,138.3877,,C
357,1,1,"Stanley, Miss. Amy Zillah Elsie",female,66.03,0,1,370373,9.4859,,S
690,0,3,"Rice, Master. Eugene",male,,0,0,4138,124.8247,,S
791,0,2,"Pekoniemi, Mr. Edvard",male,32.34,0,0,374887,8.3354,,Q
153,1,1,"Gilnagh, Miss. Katherine ""Katie""",male,32.0,0,0,349223,53.094,B57 B59 B63 B66,S
260,0,3,"Navratil, Mr. Michel (""Louis M Hoffman"")",female,25.24,3,0,19988,35.516,,
636,0,3,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",male,,0,0,PC 17595,46.6145,,S
803,0,3,"Shutes, Miss. Elizabeth W",female,53.74,0,0,349239,32.6173,,C
1,0,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,49.79,0,0,330931,15.0395,B28,S
297,1,3,"Keane, Mr. Andrew ""Andy""",female,29.86,1,0,13507,105.117,,S
869,0,3,"Jalsevac, Mr. Ivan",female,31.95,0,0,11668,179.5893,,S
608,0,1,"Cacic, Miss. Marija",male,30.86,1,0,4134,35.5624,C111,C
587,0,3,"Murphy, Miss. Katherine ""Kate""",female,29.75,0,0,SC/AH 3085,51.3312,,S
672,0,3,"Olsvigen, Mr. Thor Anderson",female,27.44,0,0,113806,27.5249,B96 B98,S
600,0,2,"Sage, Mr. George John Jr",female,28.3,0,0,PC 17590,11.974,,C
643,0,3,"Simonius-Blumer, Col. Oberst Alfons",female,31.41,5,2,315084,80.4678,,S
687,1,2,"Perreault, Miss. Anne",male,25.42,0,2,A/4. 34244,82.2861,B80,C
778,1,2,"Slocovski, Mr. Selman Francis",male,31.19,1,0,239853,78.8246,,C
841,0,3,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,32.2,0,0,SOTON/O.Q. 3101312,6.5934,,S
849,0,3,"Foreman, Mr. Benjamin Laventall",male,,1,2,17453,11.3564,C92,Q
891,0,2,"Smith, Mr. James Clinch",female,11.43,0,0,PC 17572,18.7661,,C
559,0,3,"Shellard, Mr. Frederick William",male,,1,0,PC 17757,91.0004,,S
193,1,2,"Lurette, Miss. Elise",male,4.03,3,2,S.O.C. 14879,30.8058,D48,C
166,1,3,"Bishop, Mrs. Dickinson H (Helen Walton)",male,,0,0,17464,31.0871,,S
648,0,3,"Harris, Mr. Henry Birkhardt",male,63.14,2,0,A/5 21171,182.6451,B58 B60,S
108,1,3,"Pekoniemi, Mr. Edvard",female,29.03,0,0,113788,143.3057,D26,C
808,1,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,26.43,0,0,11774,55.5061,,C
817,0,3,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",female,31.47,3,0,347085,35.1407,,S
726,0,2,"Moen, Mr. Sigurd Hansen",male,28.11,0,2,3101296,4.1089,,C
654,0,2,"Newell, Miss. Madeleine",female,27.88,0,0,PC 17608,69.0339,,S
744,1,3,"Aubart, Mme. Leontine Pauline",male,29.41,1,0,226593,47.3379,,C
587,0,2,"Parrish, Mrs. (Lutie Davis)",female,53.67,4,0,376564,158.3011,B28,C
605,0,2,"Lemore, Mrs. (Amelia Milley)",male,44.08,0,0,111240,10.8187,B42,Q
891,0,3,"Trout, Mrs. William H (Jessie L)",female,,1,0,C.A. 33112,15.1642,,S
209,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,28.59,0,0,33638,183.0758,,C
93,0,1,"Johnston, Miss. Catherine Helen ""Carrie""",female,52.73,1,2,PC 17477,6.9523,C62 C64,C
855,0,3,"Youseff, Mr. Gerious",male,27.42,1,1,349228,184.1273,T,C
207,1,2,"Nicola-Yarred, Miss. Jamila",female,39.51,0,1,2648,27.5441,B51 B53 B55,C
891,0,3,"Harrison, Mr. William",male,67.37,0,0,113572,2.9457,,S
488,0,2,"Rosblom, Mr. Viktor Richard",male,24.81,4,0,PC 17593,13.4789,D6,
658,1,2,"Johnson, Mr. William Cahoone Jr",male,27.96,0,0,347064,204.3238,,S
574,0,3,"Wiklund, Mr. Jakob Alfred",male,76.35,0,0,11967,88.7276,,C
798,1,3,"Kraeff, Mr. Theodor",female,,1,0,9234,43.8802,C86,Q
852,1,3,"Sadlier, Mr. Matthew",male,71.23,1,0,CA. 2343,10.0744,,C
640,0,3,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,23.84,4,1,PC 17477,14.2712,C85,S
162,0,3,"Rogers, Mr. William John",female,31.89,0,0,PC 17485,220.9204,,S
747,1,3,"Young, Miss. Marie Grice",male,,0,2,A/4. 39886,76.3929,,S
811,0,2,"Slabenoff, Mr. Petco",female,,0,0,244367,12.4217,C7,Q
207,0,3,"Mamee, Mr. Hanna",female,,0,0,2659,18.9797,C124,S
145,1,2,"Jensen, Mr. Hans Peder",female,,1,0,2926,13.2347,B37,C
384,1,3,"Sage, Mr. Frederick",male,42.67,1,0,11771,51.0129,,C
273,1,3,"Badt, Mr. Mohamed",male,31.26,0,0,19928,72.7368,,S
861,1,3,"Canavan, Miss. Mary",male,50.69,1,0,PC 17757,91.753,,C
634,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,,4,2,373450,192.8748,B58 B60,S
891,1,3,"Frost, Mr. Anthony Wood ""Archie""",female,25.89,0,0,PC 17485,21.2279,,S
506,0,2,"Bidois, Miss. Rosalie",male,26.68,1,1,8475,6.7178,E46,Q
837,0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,22.1,1,0,2693,32.7818,,C
671,1,3,"Harrington, Mr. Charles H",male,,0,0,C.A. 31921,81.2873,,S
626,1,2,"Sheerlinck, Mr. Jan Baptist",male,35.62,4,0,2691,87.0859,,S
467,1,3,"Masselmani, Mrs. Fatima",male,,0,0,SC/Paris 2123,11.0095,,C
287,0,3,"Shorney, Mr. Charles Joseph",female,31.01,0,2,244358,12.4123,,S
512,0,2,"Olsson, Miss. Elina",male,25.39,0,0,345780,17.1386,,S
133,0,2,"Zimmerman, Mr. Leo",female,,0,1,SC/AH 29037,11.9208,B35,C
290,0,3,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,29.47,0,0,STON/O 2. 3101292,31.8083,D17,S
170,0,3,"Sirayanian, Mr. Orsen",male,63.31,1,0,SOTON/OQ 3101316,23.5314,B38,Q
195,0,3,"Aubart, Mme. Leontine Pauline",female,22.49,1,0,244252,12.7773,A20,C
811,1,2,"Wick, Miss. Mary Natalie",male,25.6,0,0,35851,67.6674,,C
882,0,3,"Meyer, Mr. Edgar Joseph",male,26.25,0,0,350042,28.0875,C110,S
867,0,2,"Hunt, Mr. George Henry",male,31.02,3,0,17421,13.8372,,S
639,1,3,"Newell, Miss. Marjorie",male,29.89,1,0,STON/O 2. 3101286,75.2288,,S
232,0,2,"Hamalainen, Mrs. William (Anna)",female,51.48,0,0,370369,85.2453,,C
865,0,2,"Shorney, Mr. Charles Joseph",male,31.33,0,0,35852,7.1983,,S
315,1,1,"Collander, Mr. Erik Gustaf",male,71.34,0,0,315151,10.1972,,C
699,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,30.93,0,2,110413,9.3176,C47,S
356,1,3,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",male,31.0,0,0,248747,9.5981,,C
735,1,3,"McGovern, Miss. Mary",male,46.19,1,0,SW/PP 751,30.1325,F33,S
753,0,3,"Cacic, Mr. Luka",female,19.61,1,1,35852,37.834,C23 C25 C27,S
882,0,3,"Harper, Rev. John",female,31.14,0,2,W./C. 6607,56.1106,,S
823,0,3,"Graham, Miss. Margaret Edith",female,31.53,0,0,7552,171.5699,,C
