PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
235,1,3,"Laleff, Mr. Kristo",male,21.63,0,0,113572,10.7846,,S
179,0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",male,,1,0,230080,26.1772,,S
505,0,3,"Leader, Dr. Alice (Farnham)",male,30.8,1,1,PC 17760,17.9521,,C
630,0,3,"Hagland, Mr. Konrad Mathias Reiersen",female,,0,0,349225,0.0,,S
14,1,3,"Willey, Mr. Edward",male,21.1,0,1,315094,6.4949,,S
1,1,3,"Nasser, Mr. Nicholas",male,30.16,1,0,250648,14.2364,,C
137,1,3,"Troupiansky, Mr. Moses Aaron",male,21.88,0,0,226593,5.7315,,Q
1,1,3,"Karlsson, Mr. Nils August",male,,1,0,394140,9.3955,,S
99,0,2,"Hirvonen, Miss. Hildur E",male,55.86,0,3,110465,10.8004,C124,C
560,0,3,"Lobb, Mr. William Arthur",male,20.45,0,0,113806,15.4201,,S
111,0,2,"Shorney, Mr. Charles Joseph",male,,0,0,244361,11.0689,E24,S
656,1,1,"Lennon, Mr. Denis",female,25.17,1,0,113798,62.2009,,S
721,0,3,"Young, Miss. Marie Grice",male,23.65,0,0,PC 17760,6.9352,,S
327,0,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",male,18.57,0,0,345764,16.7317,,S
777,0,2,"Sage, Miss. Constance Gladys",male,30.8,0,0,PC 17569,110.087,,C
556,0,3,"Foreman, Mr. Benjamin Laventall",male,29.79,0,0,W/C 14208,15.4289,,C
384,1,3,"Becker, Miss. Marion Louise",male,52.1,0,0,113510,8.1159,,S
704,0,1,"Newell, Miss. Madeleine",male,20.49,1,0,S.O.C. 14879,34.1939,,C
607,1,3,"Foo, Mr. Choong",male,45.38,0,0,8471,10.5615,,S
1,0,3,"Harper, Miss. Annie Jessie ""Nina""",male,,0,0,PC 17569,3.5269,,S
612,0,1,"Goldenberg, Mr. Samuel L",male,31.35,0,0,CA. 2343,87.2854,,C
522,1,3,"Kraeff, Mr. Theodor",female,45.33,0,0,113059,10.8853,,S
617,0,2,"Stahelin-Maeglin, Dr. Max",male,,0,0,2653,27.2068,,S
338,0,3,"Richards, Master. William Rowe",male,46.81,0,0,36209,11.8857,E25,C
607,1,1,"Peter, Mrs. Catherine (Catherine Rizk)",male,22.87,1,0,364849,15.9477,,S
29,0,2,"McCormack, Mr. Thomas Joseph",female,18.61,0,0,13502,52.5912,C93,C
485,0,3,"Fynney, Mr. Joseph J",male,22.49,0,0,113501,104.6056,,S
385,1,3,"Barkworth, Mr. Algernon Henry Wilson",male,23.57,0,0,330919,8.2327,,S
1,1,3,"Klaber, Mr. Herman",female,23.49,0,0,S.O./P.P. 751,78.4207,,S
346,0,3,"Betros, Mr. Tannous",male,26.1,0,0,248747,14.5198,,S
599,1,1,"Watson, Mr. Ennis Hastings",male,8.93,0,0,4137,286.6214,,S
105,1,3,"Saad, Mr. Amin",female,14.82,0,2,250652,121.0543,,Q
63,0,1,"Lindblom, Miss. Augusta Charlotta",male,29.64,0,0,243847,13.311,C47,C
