PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
782,1,3,"Rogers, Mr. William John",male,31.18,0,0,349237,29.0955,D17,Q
79,1,2,"Stoytcheff, Mr. Ilia",male,,0,0,349910,14.371,,S
792,1,1,"Eustis, Miss. Elizabeth Mussey",male,31.32,0,0,3101276,12.9045,,S
116,1,2,"Elias, Mr. Tannous",male,,1,0,113781,12.5869,,S
143,0,1,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,45.34,0,0,A/5. 851,81.1559,,C
531,1,1,"Staneff, Mr. Ivan",male,19.31,1,0,365222,29.5897,C124,S
328,0,1,"Rush, Mr. Alfred George John",male,31.84,0,1,347089,10.2418,,S
168,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",male,29.67,1,0,11767,72.8114,,C
469,1,2,"Smith, Mr. James Clinch",male,38.93,1,0,350025,33.3272,,C
74,1,1,"Silvey, Mr. William Baird",female,,0,0,113055,50.6441,C124,S
237,0,2,"Chibnall, Mrs. (Edith Martha Bowerman)",male,30.17,0,1,CA. 2343,8.3623,D9,S
440,1,1,"Lesurer, Mr. Gustave J",male,21.45,0,1,365222,9.4593,,C
1,1,2,"McCarthy, Mr. Timothy J",male,51.34,0,0,PC 17757,12.121,,C
396,1,3,"Jensen, Mr. Svend Lauritz",male,33.35,0,0,19928,93.1825,,C
192,0,3,"Slabenoff, Mr. Petco",male,47.7,0,0,36568,14.947,A24,C
8,0,3,"Duane, Mr. Frank",male,27.77,0,1,STON/O 2. 3101280,15.7692,,S
217,0,1,"Karun, Miss. Manca",male,18.84,0,0,250644,6.5803,,S
465,1,3,"Gheorgheff, Mr. Stanio",female,35.43,0,0,2694,3.8562,E63,S
259,1,3,"Navratil, Master. Edmond Roger",female,,1,0,35273,5.5926,B82 B84,C
541,1,3,"Rosblom, Mr. Viktor Richard",female,43.67,0,1,F.C.C. 13528,9.0574,,S
499,1,2,"Thayer, Mr. John Borland Jr",male,43.77,0,0,S.O./P.P. 3,13.6372,,C
740,1,3,"Brown, Mr. Thomas William Solomon",female,,0,1,386525,2.7481,E58,S
171,1,3,"Yousseff, Mr. Gerious",male,32.86,0,0,4136,17.0584,,S
698,0,3,"Kelly, Miss. Mary",female,30.84,0,1,364500,181.2669,B80,S
1,0,3,"Sirota, Mr. Maurice",female,,1,0,239855,37.7253,C95,C
730,1,3,"Crease, Mr. Ernest James",female,29.76,1,1,13213,6.763,,S
772,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,59.36,1,0,350404,26.1151,,S
476,1,3,"Bazzani, Miss. Albina",male,36.6,1,0,C.A. 31026,8.2164,F E69,S
365,0,3,"Christy, Miss. Julie Rachel",female,29.43,0,2,113056,22.4277,B58 B60,C
197,1,3,"Hagland, Mr. Konrad Mathias Reiersen",male,31.92,0,0,113760,24.4694,,C
392,1,2,"Carlsson, Mr. Frans Olof",male,29.17,0,0,345773,12.1531,F33,S
891,1,1,"Kilgannon, Mr. Thomas J",female,20.92,1,0,347071,4.4737,,C
258,1,2,"Silverthorne, Mr. Spencer Victor",male,20.83,0,0,392091,11.9907,,S
278,0,3,"Doharr, Mr. Tannous",male,19.08,0,1,2664,160.3859,E50,C
607,1,1,"Goldenberg, Mr. Samuel L",female,55.36,0,0,STON/O 2. 3101286,5.3757,E101,S
829,1,1,"Taussig, Miss. Ruth",male,,2,0,2627,7.5165,E44,C
222,1,3,"White, Mr. Percival Wayland",male,29.48,1,0,13502,13.0844,,Q
247,1,3,"Harper, Rev. John",male,23.67,1,1,2694,85.7211,,Q
239,1,3,"Jensen, Mr. Svend Lauritz",male,14.4,0,0,345572,65.5777,,S
526,1,2,"Nasser, Mr. Nicholas",male,19.71,1,0,239856,94.1541,F33,Q
176,1,3,"Ali, Mr. William",male,23.12,0,0,PC 17593,41.7865,,S
762,1,2,"Bourke, Mrs. John (Catherine)",female,37.38,0,2,218629,8.6537,,S
164,1,3,"Stone, Mrs. George Nelson (Martha Evelyn)",male,30.84,0,0,113783,39.8089,,S
78,1,3,"Fortune, Miss. Mabel Helen",male,31.39,0,2,1601,77.8682,,S
539,0,3,"Nosworthy, Mr. Richard Cater",male,31.46,0,0,330980,13.5729,,S
173,0,1,"Behr, Mr. Karl Howell",male,20.03,0,0,1601,40.5603,D17,C
296,0,2,"Strom, Miss. Telma Matilda",male,,0,0,113505,0.0,,S
315,0,3,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",male,65.93,0,0,113505,12.6697,,S
428,1,3,"Jussila, Mr. Eiriik",female,28.11,0,0,SOTON/O.Q. 3101312,9.0781,,S
332,1,3,"Simmons, Mr. John",female,,0,1,363294,36.5199,,S
471,1,2,"Emanuel, Miss. Virginia Ethel",female,,1,0,347742,31.8858,B28,S
761,1,3,"Culumovic, Mr. Jeso",female,40.92,1,0,248727,12.3003,,S
157,0,1,"Sjoblom, Miss. Anna Sofia",male,46.76,1,0,12749,8.459,,S
143,1,2,"Icard, Miss. Amelie",male,43.54,0,0,230433,16.5388,,C
547,0,3,"Goldsmith, Mr. Frank John",female,,0,2,WE/P 5735,78.5076,B4,S
474,1,1,"Connaghton, Mr. Michael",male,31.75,1,0,SOTON/O.Q. 3101305,93.648,A14,Q
486,0,3,"Parkes, Mr. Francis ""Frank""",male,25.78,0,0,113760,15.6027,C32,C
320,1,1,"Farthing, Mr. John",female,18.91,1,0,330935,8.4963,B77,S
674,1,3,"Hart, Mr. Henry",male,45.75,0,0,113050,7.2218,,S
413,0,1,"Hold, Mr. Stephen",female,30.93,1,2,349218,3.3061,,S
472,1,3,"Markun, Mr. Johann",male,43.87,0,0,PC 17757,15.2426,,S
684,1,2,"Harknett, Miss. Alice Phoebe",female,30.47,0,0,347085,5.6324,,C
858,1,2,"O'Sullivan, Miss. Bridget Mary",male,22.79,0,0,349205,12.8497,,S
